                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9234,                 6.6736,                 4.8914,                 2.5915,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.2381,                 8.3837,                 5.1372,                 2.6628,                      0,                      0,                      0
                      2,                 4.7973,                 9.0036,                  5.236,                 2.4583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.1735,                 8.1562,                 5.0708,                 2.5905,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 4.4333,                 6.6428,                 4.6874,                 2.2098,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   5.07,                 7.5721,                 4.9386,                 2.4444,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                  4.238,                 6.7942,                 4.6591,                 1.8771,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.8211,                 6.8285,                 4.7856,                 2.2342,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 3.9122,                 5.1216,                 4.2717,                  1.615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.5688,                  5.903,                 4.6099,                 2.0046,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 3.4584,                 5.2394,                 4.1422,                 1.3526,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.3272,                 5.2728,                 4.4234,                 1.7581,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 3.2378,                 4.6033,                 3.9564,                 1.2197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9863,                 4.8384,                 4.2576,                 1.4872,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 3.1837,                 4.6313,                 3.8165,                 1.1087,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4413,                 4.7166,                 4.1284,                 1.2494,              0.0001086,              0.0001086,              0.0001086
                      9,                 3.5432,                 4.6985,                 3.6724,                 1.1073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.1134,                 4.5824,                 4.0553,                 1.1242,              0.0001228,              0.0001228,              0.0001228
                     10,                 3.1558,                 4.1471,                 3.4606,                 1.0172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9444,                 4.4941,                 4.0038,                 1.0349,             0.00013666,             0.00013666,             0.00013666
                     11,                 3.1984,                 4.1561,                  3.262,                 1.0161,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7762,                 4.3414,                 3.9595,                0.96784,              0.0001502,              0.0001502,              0.0001502
                     12,                 3.0645,                 3.8587,                 3.0144,                 1.0026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7597,                 4.1777,                 3.8994,                0.94404,              0.0001634,              0.0001634,              0.0001634
                     13,                 3.0277,                 4.1854,                 2.7621,                0.99074,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8379,                 4.1081,                 3.8148,                0.94304,             0.00017628,             0.00017628,             0.00017628
                     14,                 3.1652,                 4.4026,                 2.4891,                 1.0051,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8502,                  4.233,                 3.7587,                0.94196,             0.00018882,             0.00018882,             0.00018882
